TRACKNR;KMSTR_E;KMEND_E;KMSTR_V;KMEND_V;TRACKNAME;TRACKSHCUT
1132;99999969;100180093;  0,0 + -30;  1,8 +  93;Luebeck-Schlutup, W 31 - Schlutup, Fischereihafen;HL-Schlutup - Hafen
1133;100000000;100030085;  0,0 +   0;  0,3 +  85;Luebeck-Schlutup, W 51 - Luebeck-Schlutup, Breitling;HL-Schlutup - Schlutup Breitl.
1134;100000000;100120030;  0,0 +   0;  1,2 +  30;Luebeck Hgbf, Awanst Genin - Luebeck-Genin;Luebeck Hgbf, Awanst - L-Genin
1135;99949969;100210018; -0,5 + -30;  2,1 +  18;Luebeck Hgbf, Stw Lw, W 437 - DB-Borderline (St Juergen,Steinhof);Luebeck Hgbf - Steinhof
1136;100000000;100110005;  0,0 +   0;  1,1 +   5;Luebeck-St Juergen, Gaswerk II, W 5 - DB-Gr.(St J., Walkmuehlenweg);Luebeck Gaswerk - Walkmuehlenweg
1137;100000000;100580075;  0,0 +   0;  5,8 +  75;Switch Brandenbaum, W 11 - Luebeck Konstinbahnhof;Brandenbaum - Luebeck Konstinbf
1140;100000000;100010000;  0,0 +   0;  0,1 +   0;former Track - (DB-Borderline) Buechen - Hamburg-Altona               (new Track 6100);former Track 1140
1141;124870003;128580067;248,7 +   3;285,8 +  67;Schwarzenbek, W 602 - Bad Oldesloe;Schwarzenbek - Bad Oldesloe
1142;100000000;100010000;  0,0 +   0;  0,1 +   0;former Track - (DB-Borderline) Klein Zecher - Bad Oldesloe, W 72     (new Track 6928);former Track 1142
1150;113110073;116150037;131,1 +  73;161,5 +  37;Lueneburg, W 98 - Buechen, W 16;Lueneburg - Buechen
1151;116610000;126060060;166,1 +   0;260,6 +  60;Dannenberg East - Jesteburg;Dannenberg East - Jesteburg
1152;100000000;100010000;  0,0 +   0;  0,1 +   0;former Track - (DB-Borderline) Luebbow - Dannenberg Ost, W 51         (new Track 6905);former Track 1152
1153;113290042;115780075;132,9 +  42;157,8 +  75;Lueneburg, W 210 - Stelle, W 5;Lueneburg - Stelle
1200;100000000;103910080;  0,0 +   0; 39,1 +  80;former Track - Niebuell - Westerland (Sylt);former Track 1200
1201;116150005;117520090;161,5 +   5;175,2 +  90;Niebuell, W 12 - Suederluegum (Borderline);Niebuell - Suederluegum
1203;99999978;100110010;  0,0 + -21;  1,1 +  10;Husum - Husum Außenhafen;Husum - Husum Außenhafen
1204;100460034;102180000;  4,6 +  34; 21,8 +   0;Husum, Switch Hoern, W 11 - Toenning Hafen;Husum, Switch Hoern - Toenning
1205;102100075;104370023; 21,0 +  75; 43,7 +  23;Toenning, W 1 - Bad St Peter-Ording;Toenning - Bad St Peter Ording
1206;100010095;102380096;  0,1 +  95; 23,8 +  96;Heide (Holst), W 12 - Buesum;Heide - Buesum
1207;100320020;101410041;  3,2 +  20; 14,1 +  41;Weddinghusen - Hemme;Weddinghusen - Hemme
1210;103010007;123760081; 30,1 +   7;237,6 +  81;Elmshorn, W 104 - Westerland (Sylt);Elmshorn - Westerland
1211;103290000;103450000; 32,9 +   0; 34,5 +   0;Elmshorn - Altenmoor;Elmshorn - Altenmoor
1212;99999926;100060090;  0,0 + -73;  0,6 +  90;Elmshorn - Elmshorn Hafen;Elmshorn - Elmshorn Hafen
1213;99979956;100150021; -0,2 + -43;  1,5 +  21;Glueckstadt - Glueckstadt Hafen;Glueckstadt - Glueckstadt Hafen
1214;99959967;101580072; -0,4 + -32; 15,8 +  72;Wilster, 65W206 - Brunsbuettel;Wilster - Brunsbuettel
1215;99959983;101220079; -0,4 + -16; 12,2 +  79;St Michaelisdonn, W 11 - Brunsbuettel Nord;St Michaelisdonn - Brunsbuettel
1216;100020077;100830017;  0,2 +  77;  8,3 +  17;St Michaelisdonn - Marne;St Michaelisdonn - Marne
1217;100030059;101270061;  0,3 +  59; 12,7 +  61;Marne, W 11 - Friedrichskoog III;Marne - Friedrichskoog
1218;99999902;100770070;  0,0 + -97;  7,7 +  70;Itzehoe Alsen, W 106 - Laegerdorf;Itzehoe Alsen - Laegerdorf
1220;100070010;110550093;  0,7 +  10;105,5 +  93;Hamburg-Altona - Kiel Main-St.;Hamburg-Altona - Kiel
1221;105200011;107380055; 52,0 +  11; 73,8 +  55;Wrist, W 3 - Itzehoe, W 17;Wrist - Itzehoe
1222;100000000;100160074;  0,0 +   0;  1,6 +  74;former Track - Hamburg-Altona Kai - Hamburg-Altona;former Track 1222
1223;100000000;100040020;  0,0 +   0;  0,4 +  20;former Track - Hamburg-Altona Kai - Gl 83;former Track 1223
1224;100080089;100970013;  0,8 +  89;  9,7 +  13;Hamburg-Altona, W 732 - Hamburg-Blankenese;Hamburg-Altona - HH-Blankenese
1225;100000058;101590004;  0,0 +  58; 15,9 +   4;Switch Hamburg Holstenstraße D, W 803 - Pinneberg;HH Holstenstr. D - Pinneberg
1226;100980027;101890059;  9,8 +  27; 18,9 +  59;Blankenese, W 8 - Wedel (Holst);Blankenese - Wedel
1230;100030048;100340012;  0,3 +  48;  3,4 +  12;Switch Hamburg-Bahrenfeld, W 304 - Hmb-Langenfelde Bbf, W 509;HH-Bahrenfeld - HH-Langenfelde
1231;100070015;100380030;  0,7 +  15;  3,8 +  30;Hamburg-Altona - Hamburg-Langenfelde Bbf, W 35;HH-Altona - HH-Langenfelde
1232;100140081;101040085;  1,4 +  81; 10,4 +  85;Switch Hamburg Rainweg, W 174 - Hamburg-Eidelstedt, W 341;Switch Rainweg - HH-Eidelstedt
1233;99999982;100160087;  0,0 + -17;  1,6 +  87;Hmb-Langenfelde Bbf - Hmb-Altona, Paketpostbf;HH-Langenfelde - Altona-Postbf
1234;100050028;102110060;  0,5 +  28; 21,1 +  60;Hamburg-Eidelstedt, W 14 - Hmb-Rothenburgsort, W 182;HH-Eidelstedt - Rothenburgsort
1239;101150073;101430039; 11,5 +  73; 14,3 +  39;Hamburg-Ohlsdorf,W 89 - Hamburg Airport;HH-Ohlsdorf - Hamburg Airport
1240;128660049;129280066;286,6 +  49;292,8 +  66;Hamburg Main-St. (S-Bahn), W 55 - Hamburg-Altona, W 751;Hamburg Main-St. SB - Hmb-Altona
1241;100000020;101740057;  0,0 +  20; 17,4 +  57;Hamburg Main-St. (S-Bahn), W 57 - Hamburg-Poppenbuettel;Hmb Main-St. SB - Hmb-Poppenbuettel
1242;105670038;105960038; 56,7 +  38; 59,6 +  38;Hamburg-Wandsbek, W 103 - Switch Hamburg-Horn, W 204;Hamburg-Wandsbek - HH-Horn
1243;100950099;101140007;  9,5 +  99; 11,4 +   7;Hamburg-Barmbek, W 350 - Hamburg-Ohlsdorf;Hamburg-Barmbek - HH-Ohlsdorf
1244;100000000;102560009;  0,0 +   0; 25,6 +   9;Hamburg Main-St. (S-Bahn), W 58 - Aumuehle;Hamburg Main-St.(S-Bahn) - Aumuehle
1245;100020029;100280074;  0,2 +  29;  2,8 +  74;Hmb-Rothenburgsort, W 190 - Hamburg Main-St., W 406;HH-Rothenburgsort - HH Main-St.
1246;127000070;128540050;270,0 +  70;285,4 +  50;former Track - HH-Bergedorf - Hamburg Hgbf;former Track 1246
1247;100030042;100770019;  0,3 +  42;  7,7 +  19;Hamburg-Ohlsdorf - Hamburg-Ochsenzoll;HH-Ohlsdorf - HH-Ochsenzoll
1248;103000000;103060080; 30,0 +   0; 30,6 +  80;Hamburg Sued, W 4 - Switch Hamburg-Veddel, 43W02;Hamburg South - Hamburg-Veddel
1249;100420068;102000000;  4,2 +  68; 20,0 +   0;Hamburg Hasselbrook, W 2 - Bargteheide (Planning Title);HH Hasselbrook - Bargteheide
1250;135240056;135550064;352,4 +  56;355,5 +  64;Switch Hamburg Oberhafen, W 4330 - Hamburg Main-St., W 442;HH Oberhafen - Hamburg Main-St.
1251;100000000;100520000;  0,0 +   0;  5,2 +   0;Hmb-Waltershof - Hmb-Finkenwerder;HH-Waltershof - Finkenwerder
1252;99999992;100290092;  0,0 +  -7;  2,9 +  92;Hamburg Unterelbe, Stw Huf, W 3003  - Hmb Unterelbe Seehafen;Hamburg Unterelbe - Seehafen
1253;100050024;101690050;  0,5 +  24; 16,9 +  50;Hamburg Suederelbbruecke, W 1 - Hmb-Waltershof Dradenau;HH Suederelbbr. - Dradenau
1254;100050034;100100026;  0,5 +  34;  1,0 +  26;Hamburg-Wilhelmsburg, W 4206 - Hamburg Hohe Schaar Sued, W 1;HH-Wilhelmsbg. - Hohe Schaar S
1255;100000000;101170080;  0,0 +   0; 11,7 +  80;Maschen Rbf, W 1219 - Hamburg South DB-Borderline;Maschen Rbf - Hamburg South Gr
1256;99989985;100370041; -0,1 + -14;  3,7 +  41;former Track - Hmb-Harburg, Po 340 - Hmb-Harburg, Nordkopf;former Track 1256
1257;100000000;100050052;  0,0 +   0;  0,5 +  52;former Track - Hmb-Harburg - Hmb-Harbg, Nordkopf;former Track 1257
1258;99989954;100120064; -0,1 + -45;  1,2 +  64;Hmb Unterelbe Seehafen, W 23 - Hmb Unterelbe Lotsehafen;HH-Unterelbe - HH-Lotsehafen
1259;134180065;134390082;341,8 +  65;343,9 +  82;Hmb-Harburg, W 47 - Hmb-Harbg, Nordkopf, W 124 , Gl. 1 + 4;Hmb-Harburg, W 47 - Nordkopf
1260;99989947;102560031; -0,1 + -52; 25,6 +  31;Hesedorf - Stade, W 3;Hesedorf - Stade
1261;100000000;100180080;  0,0 +   0;  1,8 +  80;Buxtehude, W 400 - Buxtehude Ost;Buxtehude - Buxtehude Ost
1262;100000041;100180028;  0,0 +  41;  1,8 +  28;Stade - DB-Borderline (Stadersand, NWK);Stade - DB-Gr.(Stadersand NWK)
1263;99919937;100890039; -0,8 + -62;  8,9 +  39;Stade, W 102 - Buetzfleth;Stade - Buetzfleth
1264;99999966;100320062;  0,0 + -33;  3,2 +  62;Cuxhaven, Po II, W 403 - Cuxhaven Amerika Bahnhof;Cuxhaven - Amerika Bahnhof
1265;100000000;100370010;  0,0 +   0;  3,7 +  10;Cuxhaven, Stw Cs, W 51 - Neuer Fischereihafen;Cuxhaven - Cux-Fischereihafen
1266;100000000;100070018;  0,0 +   0;  0,7 +  18;Buetzfleth, W 219 - DB-Borderline(Buetzfleth, DOW-VAW);Buetzfleth - Buetzfleth DOW-VAW
1267;100000000;100030000;  0,0 +   0;  0,3 +   0;Stadersand - DB-Borderline (Stadersand,NWK-KKW);Stadersand - Stadersand NWK
1268;100000000;100080012;  0,0 +   0;  0,8 +  12;Hamburg-Neugraben - Verladeanlage Fischbek;Hmb-Neugraben - Fischbek
1269;119040069;119090098;190,4 +  69;190,9 +  98;Buxtehude, W 413 - Buxtehude, W 418;Buxtehude, W 413 - W 418
1270;99999936;100780031;  0,0 + -63;  7,8 +  31;Hamburg Main-St.(S-Bahn), W 54 --Hmb Landungsbr.-- - Hmb Diebsteich, W 781;Hmb Main-St. SB - Hmb Diebsteich
1271;100060013;102330045;  0,6 +  13; 23,3 +  45;Hamburg Main-St. (S-Bahn), W 28 - Hamburg-Neugraben, W 30;Hamburg Main-St. SB - Hmb-Neugraben
1272;100000000;100010000;  0,0 +   0;  0,1 +   0;former Track - Hamburg-Altona - Hamburg Lurup;former Track 1272
1273;100000000;100010000;  0,0 +   0;  0,1 +   0;former Track - Switch Harburg South - Hamburg-Harburg;former Track 1273
1274;100000000;100180000;  0,0 +   0;  1,8 +   0;Deinste - Rehnkamp;Deinste - Rehnkamp
1280;99859922;104920040; -1,4 + -77; 49,2 +  40;Buchholz (Nordh), W 105 --Maschen Rbf-- - Switch Hmb-Allermoehe, W 18;Buchholz - HH-Allermoehe
1281;115470058;116100043;154,7 +  58;161,0 +  43;Switch Ashausen, 62W1 - Maschen Rbf, W 2200;Switch Ashausen - Maschen Rbf
1282;100000000;100010000;  0,0 +   0;  0,1 +   0;former Track - Maschen Rbf - Hamburg-Horn;former Track 1282
1283;128080067;132340076;280,8 +  67;323,4 +  76;Rotenburg (Wuemme), W 12 - Buchholz (Nordh.),W 261 (Mittelgleis);Rotenburg - Buchholz
1284;101760073;102180008; 17,6 +  73; 21,8 +   8;Stelle, W 2 - Maschen Rbf, W 1675;Stelle - Maschen Rbf, W 1675
1285;126100029;126130027;261,0 +  29;261,3 +  27;Aumuehle, W 805 - Gl 803;Aumuehle, W 805 - Gl 803
1286;100040000;100420000;  0,4 +   0;  4,2 +   0;reserved Track - Maschen Rbf - Hamburg-Harburg;reserved Track 1286
1290;99939915;100120035; -0,6 + -84;  1,2 +  35;Hmb-Wilhelmsburg, W 302 - Peute;Hamburg Wilhelmsburg - Peute
1291;128200011;128490030;282,0 +  11;284,9 +  30;Hamburg-Rothenburgsort, W 123 - Switch Hamburg Ericus, W 712;HH-Rothenburgsort - HH Ericus
1292;135240073;135380094;352,4 +  73;353,8 +  94;Switch Hamburg Norderelbbruecke, W 340 - Switch Hamburg Ericus, W 716;HH Norderelbbruecke - HH Ericus
1293;117480084;117590074;174,8 +  84;175,9 +  74;Hamburg-Hausbruch, 31W06 - Hamburg-Hausbruch Mitte, W 814;HH-Hausbruch - HH-Hausb. Mitte
1294;160010030;160200049;600,1 +  30;602,0 +  49;Hamburg-Waltershof Alte Suederelbe, W 210 - Altenwerder Ost;Alte Suederelbe - Altenwerder O
1295;160000000;160170000;600,0 +   0;601,7 +   0;Hamburg-Waltershof Alte Suederelbe, W 184 - Hamb.-W. Hansaport;Alte Suederelbe - Hansaport
1296;149970046;150210017;499,7 +  46;502,1 +  17; Hamburg-Waltershof Alte Suederelbe, W 317 - Hamb.-W. Muehlenwerder;Alte Suederelbe - Muehlenwerder
1297;120670091;120830062;206,7 +  91;208,3 +  62;Hamburg South DB-Borderline - Hamburg South;Hamburg South Gr - Hmb South
1298;100000000;100180000;  0,0 +   0;  1,8 +   0;reserved Track - Hamburg-Wilhelmsburg - Switch Buscher Weg;reserved Track 1298
1300;100010068;109290040;  0,1 +  68; 92,9 +  40;Bremerhaven Wulsdorf, W 5 - Buchholz (Nordheide);Bremerhv-Wulsdorf - Buchholz
1301;99929941;100190007; -0,7 + -58;  1,9 +   7;Bremerhaven-Wulsdorf, W 6 - Bremerhaven Fischereihafen;Bhv-Wulsdorf - Fischereihafen
1302;118080082;118270077;180,8 +  82;182,7 +  77;Bremerhaven-Wulsdorf, W 8 - Brh-Geestemuende;Bhv-Wulsdorf - Bhv-Geestemuende
1303;100000015;100100077;  0,0 +  15;  1,0 +  77;Bremerhaven-Wulsdorf - Brh-Geestemuende;Bremerhav.-Wuls. - Geestemuende
1304;100000000;100130030;  0,0 +   0;  1,3 +  30;former Track - Bremervoerde - Bremervoerde Hafen;former Track 1304
1306;118150078;118260072;181,5 +  78;182,6 +  72;Bremerhaven-Wulsdorf, W 34 - Bremerhaven-Wulsdorf, W 102;Bremerhav. Wulsdorf, W34 -W102
1310;119070043;122710039;190,7 +  43;227,1 +  39;Bremerhaven-Speckenbuettel, W 9 - Cuxhaven, W 12;Bhv-Speckenbuettel - Cuxhaven
1311;100020070;101770038;  0,2 +  70; 17,7 +  38;Bremerhaven-Speckenbuettel, W 5 - Bad Bederkesa;Bhv-Speckenbuettel - Bederkesa
1312;100000000;100010000;  0,0 +   0;  0,1 +   0;former Track - Bremerhaven Seehafen - BD-Borderline (Freihafen);former Track 1312
1314;100000000;100010000;  0,0 +   0;  0,1 +   0;former Track - Switch Bremerhaven North - Weserport;former Track 1314
1400;100000000;100220009;  0,0 +   0;  2,2 +   9;Brm-Sebaldsbrueck, W 61 - Brm-Sebaldsbrueck Wbf, Gl 108, W 48;Bremen-Sebaldsbrueck, W 61-W 48
1401;99999988;101240031;  0,0 + -11; 12,4 +  31;Bremen-Sebaldsbrueck, W 64 - Bremen Rbf, W 2;HB-Sebaldsbrueck - Bremen Rbf
1402;100010085;100190057;  0,1 +  85;  1,9 +  57;Switch Bremen-Hastedt, W 101 - Switch Bremen-Vahr, W 2;Bremen-Hastedt - Bremen-Vahr
1403;100020000;100190000;  0,2 +   0;  1,9 +   0;former Track - (Brm-Sebaldsbrueck) Switch Hastedt - Switch Vahr;former Track 1403
1404;100530099;101820068;  5,3 +  99; 18,2 +  68;Switch Bremen Gabelung, W 203 - Sagehorn, W 41;Switch HB Gabelung - Sagehorn
1410;100080015;100540057;  0,8 +  15;  5,4 +  57;Bremen Main-St., Stw Bgw, W 517 - Bremen Rbf, W 17005;Bremen Main-St. - HB Rbf, W 17005
1411;100740090;100950005;  7,4 +  90;  9,5 +   5;Bremen Main-St., Stw Bgw, W 525 - Bremen Rbf, Stw Bvw, W 63;Bremen Main-St. - Bremen Rbf, W 63
1412;99979934;100180078; -0,2 + -65;  1,8 +  78;Bremen Main-St., 11W601 - Bremen Main-St., 11W524;Bremen, 11W601 - 11W524
1413;100000096;100020059;  0,0 +  96;  0,2 +  59;Bremen Main-St. Bwn - Bremen Zollausschluß;Bremen - Zollausschluß
1414;99979989;100000067; -0,2 + -10;  0,0 +  67;Bremen Main-St. Bwn - Bremen Weserbahnhof;Bremen - Weserbahnhof
1415;100000090;100150007;  0,0 +  90;  1,5 +   7;Bremen Neustadt, W 16002 - Bremen-Grolland Streckenw 1415/9149;Bremen Neustadt - HB-Grolland
1420;100000000;100010000;  0,0 +   0;  0,1 +   0;former Track - Bremen Rbf, Stw Baf - STW Bve;former Track 1420
1421;100850036;101220012;  8,5 +  36; 12,2 +  12;Bremen Rbf, Stw Baf, W 2 - Bremen Rbf, Stw Bve, W 17W001;Bremen Rbf, W 2 - 17W001
1422;99909934;100220071; -0,9 + -65;  2,2 +  71;Bremen Rbf, Stw Bvl, W 345 - Bremen Inlandshafen DB-Borderline;Bremen Rbf - Inlandshafen
1423;99979960;100590049; -0,2 + -39;  5,9 +  49;Bremen-Burg, W 3 - Bremen-Vegesack;Bremen-Burg - Bremen-Vegesack
1424;100000095;100560095;  0,0 +  95;  5,6 +  95;Switch Bremen Utbremen, 13W001 - Bremen Rbf, W 393;Bremen Utbremen - Bremen Rbf
1425;100030000;100250000;  0,3 +   0;  2,5 +   0;Bremen Inlandshafen, W K11 - Bremen Stahlwerke;Bremen Inlandsh. - Stahlwerke
1426;100320029;100430029;  3,2 +  29;  4,3 +  29;Bremen Rbf, W 147 - Bremen Rbf, W 322;Bremen Rbf, W 147 - W 322
1500;100000000;104510087;  0,0 +   0; 45,1 +  87;Oldenburg (Oldb) Main-St. - Bremen Main-St., W 110;Oldenburg - Bremen
1501;100040047;103140027;  0,4 +  47; 31,4 +  27;Oldenburg (Oldb) Main-St., W 113 - Brake (Unterweser), W 2;Oldenburg - Brake
1502;100090032;110870093;  0,9 +  32;108,7 +  93;Oldenburg (Oldb) Main-St., W 171 - Osnabrueck-Eversburg, W 3;Oldenburg - Osnabrueck
1503;99899997;105020043; -1,0 +  -2; 50,2 +  43;Hude, W 32 - Nordenham-Blexen;Hude - Nordenham
1504;100030038;100030099;  0,3 +  38;  0,3 +  99;Essen (Oldb), W 1 - NE-Strecke 9201 (Essen (Oldb));Essen (Oldb) - NE-Strecke 9201
1510;100000000;100240000;  0,0 +   0;  2,4 +   0;former Track - (Wuesting)Switch Oldb.Hemmelsberg - Oldenburg Rbf;former Track 1510
1511;100000019;100240000;  0,0 +  19;  2,4 +   0;Switch Oldenb.-Hemmelsberg, W 502 - Switch Oldenb. (Oldb)Tweelbaeke, W 511;OL-Hemmelsberg - OL Tweelbaeke
1512;100000000;100010000;  0,0 +   0;  0,1 +   0;former Track - Oldenburg Rbf - Oldenburg Rbf Stw F 1;former Track 1512
1513;100000000;100010000;  0,0 +   0;  0,1 +   0;former Track - Oldenburg Rbf, Stw 6 - Stw R 2;former Track 1513
1514;100000000;100010000;  0,0 +   0;  0,1 +   0;former Track - Oldenburg Rbf, Stw R 4 - Stw F 5;former Track 1514
1520;100080042;105550012;  0,8 +  42; 55,5 +  12;Oldenburg (Oldb) Main-St., W 5 - Leer (Ostfriesl), W 38;Oldenburg - Leer
1521;100040051;106330020;  0,4 +  51; 63,3 +  20;Cloppenburg, W 10 - Westerstede-Ocholt, W 1;Cloppenburg - Westerst.-Ocholt
1522;100000000;105230059;  0,0 +   0; 52,3 +  59;Oldenburg (Oldb) Main-St. - Wilhelmshaven;Oldenburg - Wilhelmshaven
1530;99969930;100650095; -0,3 + -69;  6,5 +  95;Varel (Oldb) - Diekmannshausen;Varel - Diekmannshausen
1531;99989959;100180036; -0,1 + -40;  1,8 +  36;Varel (Oldb) - Varelerhafen;Varel - Varelerhaven
1532;100070011;101920074;  0,7 +  11; 19,2 +  74;Varel (Oldb) - Neuenburg (Oldb);Varel - Neuenburg
1533;100400051;100760035;  4,0 +  51;  7,6 +  35;Borgstede - Bramloge;Borgstede - Bramloge
1534;100000000;103010078;  0,0 +   0; 30,1 +  78;Westerstede (Oldb) - Westerstede-Ocholt, W 22;Westerstede - Westerst.-Ocholt
1540;100030036;101290055;  0,3 +  36; 12,9 +  55;Sande, W 69 - Jever;Sande - Jever
1541;100000000;102030040;  0,0 +   0; 20,3 +  40;Jever - Harle;Jever - Harle
1542;99979901;100350052; -0,2 + -98;  3,5 +  52;Wangerooge - Wangerooge Westanleger;Wangerooge - Westanleger
1543;100140035;100360008;  1,4 +  35;  3,6 +   8;Wangerooge Saline, W 41 - Wangerooge Westen;Wangerooge Saline - Westen
1544;100000000;100020045;  0,0 +   0;  0,2 +  45;(Wangerooge) --Verbindungskurve-- - (Westen);Wangerooge(Verb.kurv) - Westen
1545;100000000;100530089;  0,0 +   0;  5,3 +  89;Wangerooge - Ostanleger;Wangerooge - Ostanleger
1546;100000000;100580068;  0,0 +   0;  5,8 +  68;Sande, W 44 - Switch Schortens Weißer Floh, W 5;Sande - Weißer Floh
1550;99909986;100750073; -0,9 + -13;  7,5 +  73;Sande, W 3 - Wilhelmshaven South;Sande - Wilhelmshaven
